"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","苗栗縣頭份鎮","民生里","893","2717","1374","1343",362,322,349,299,245,295,128,134,19,39,1103,1089
"10309","苗栗縣頭份鎮","流東里","781","2757","1465","1292",343,305,319,266,295,264,126,147,56,50,1139,1032
"10309","苗栗縣頭份鎮","濫坑里","764","2657","1378","1279",343,311,307,285,278,237,127,127,37,54,1092,1014
"10309","苗栗縣頭份鎮","珊湖里","672","2152","1131","1021",273,240,230,196,225,211,123,123,46,52,897,822
"10309","苗栗縣頭份鎮","田寮里","1541","4561","2244","2317",559,612,560,531,429,428,163,183,47,74,1758,1828
"10309","苗栗縣頭份鎮","自強里","947","2609","1250","1359",267,278,304,322,213,261,111,146,37,48,932,1055
"10309","苗栗縣頭份鎮","興隆里","1610","4990","2597","2393",610,603,676,528,493,462,206,197,57,64,2042,1854
"10309","苗栗縣頭份鎮","蘆竹里","518","1672","890","782",213,202,173,147,222,170,92,82,25,34,725,635
"10309","苗栗縣頭份鎮","蟠桃里","2495","6992","3411","3581",770,857,964,1044,423,520,151,150,32,44,2340,2615
"10309","苗栗縣頭份鎮","頭份里","1365","4065","1979","2086",477,507,441,462,374,429,152,161,40,62,1484,1621
"10309","苗栗縣後龍鎮","中和里","522","1316","721","595",104,122,164,99,202,108,107,102,49,62,626,493
"10309","苗栗縣後龍鎮","中龍里","313","1067","556","511",115,103,132,103,104,102,70,67,19,27,440,402
"10309","苗栗縣後龍鎮","北龍里","556","1831","931","900",210,199,191,180,185,189,98,109,29,39,713,716
"10309","苗栗縣後龍鎮","南港里","499","1416","790","626",175,134,191,126,180,123,100,96,44,53,690,532
"10309","苗栗縣後龍鎮","南龍里","539","1729","887","842",208,196,215,180,175,155,74,99,24,43,696,673
"10309","苗栗縣後龍鎮","埔頂里","949","3507","1797","1710",435,412,437,366,316,282,147,167,51,66,1386,1293
"10309","苗栗縣後龍鎮","外埔里","426","1218","663","555",105,99,174,108,171,97,93,98,34,53,577,455
"10309","苗栗縣後龍鎮","大山里","598","1849","975","874",182,183,260,183,191,164,131,133,47,50,811,713
"10309","苗栗縣後龍鎮","大庄里","1535","5313","2728","2585",685,631,600,567,499,510,184,195,57,73,2025,1976
"10309","苗栗縣後龍鎮","復興里","262","849","448","401",85,99,98,69,107,67,54,58,21,34,365,327
"10309","苗栗縣後龍鎮","新民里","465","1737","864","873",187,200,212,181,175,144,79,95,31,44,684,664
"10309","苗栗縣後龍鎮","東明里","577","1811","983","828",210,182,225,199,220,127,91,89,38,59,784,656
"10309","苗栗縣後龍鎮","校椅里","384","1154","596","558",126,125,118,105,136,117,60,70,28,27,468,444
"10309","苗栗縣後龍鎮","水尾里","387","1272","667","605",124,129,187,127,116,102,84,92,37,42,548,492
"10309","苗栗縣後龍鎮","海埔里","400","1164","620","544",135,115,159,134,140,97,68,74,36,40,538,460
"10309","苗栗縣後龍鎮","海寶里","399","1170","642","528",110,103,166,117,139,90,72,70,35,42,522,422
"10309","苗栗縣後龍鎮","溪洲里","814","2836","1467","1369",374,335,334,284,272,262,148,161,45,54,1173,1096
"10309","苗栗縣後龍鎮","灣寶里","493","1556","874","682",175,152,213,134,179,127,90,106,41,44,698,563
"10309","苗栗縣後龍鎮","福寧里","292","889","508","381",102,72,123,70,122,85,56,65,30,42,433,334
"10309","苗栗縣後龍鎮","秀水里","262","999","508","491",104,103,139,101,108,96,53,76,18,34,422,410
"10309","苗栗縣後龍鎮","豐富里","478","1543","793","750",156,185,196,136,172,162,85,87,37,43,646,613
"10309","苗栗縣後龍鎮","龍坑里","525","1533","825","708",179,152,194,137,189,153,92,83,36,53,690,578
"10309","苗栗縣後龍鎮","龍津里","241","765","418","347",88,78,95,77,84,59,37,43,31,23,335,280
"10309","苗栗縣卓蘭鎮","上新里","841","2589","1365","1224",321,324,267,223,324,295,151,120,47,48,1110,1010
"10309","苗栗縣卓蘭鎮","中街里","362","922","485","437",91,82,93,84,121,110,66,72,24,26,395,374
"10309","苗栗縣卓蘭鎮","內灣里","902","2708","1431","1277",369,338,275,201,323,293,169,168,54,42,1190,1042
"10309","苗栗縣卓蘭鎮","坪林里","632","2091","1096","995",271,274,208,187,266,193,104,99,40,44,889,797
